first,last,job,phone,email,client_id,order_id,order_date,order_week,order_year,item_id,category,subcategory,unit_price,unit_cost,unit_weight,qty,line_number,subtotal,line_subtotal,shipping_price,total_weight,line_price,line_cost,profit
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2023-02-27,9,2023,DEE52027-40-3U,software,project management,$0.00M,$0.00M,2.27,12,3,$0.00M,$0.00M,$0.00M,27.240000000000002,$0.00M,$0.00M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,UXB71094-13-6M,consumables,kitchen supplies,$0.00M,$0.00M,4.6,26,2,$0.00M,$0.00M,$0.00M,119.6,$0.00M,$0.00M,$0.00M
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,MXX42023-02-3M,furniture,stands,$0.00M,$0.00M,0.17,99,3,$0.01M,$0.01M,$0.00M,16.830000000000002,$0.01M,$0.00M,$0.00M
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2023-02-27,9,2023,AEC69505-92-4M,furniture,tables,$0.00M,$0.00M,0.54,22,1,$0.00M,$0.00M,$0.00M,11.88,$0.00M,$0.00M,$0.00M
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2023-02-27,9,2023,AEE28845-01-5Z,consumables,kitchen supplies,$0.00M,$0.00M,1.57,24,2,$0.00M,$0.00M,$0.00M,37.68,$0.00M,$0.00M,$0.00M
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,BCE01616-94-8D,software,accounting,$0.00M,$0.00M,6.27,29,1,$0.00M,$0.00M,$0.00M,181.82999999999998,$0.00M,$0.00M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,XDU73429-99-9D,consumables,kitchen supplies,$0.00M,$0.00M,6.0,45,1,$0.00M,$0.00M,$0.00M,270.0,$0.00M,$0.00M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,CCC03561-75-5E,furniture,tables,$0.00M,$0.00M,6.55,344,0,$0.32M,$0.32M,$0.02M,2253.2,$0.37M,$0.18M,$0.19M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,DEC92033-19-9C,electronics,telecom,$0.00M,$0.00M,1.38,8,4,$0.00M,$0.00M,$0.00M,11.04,$0.00M,$0.00M,$0.00M
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2023-02-27,9,2023,BDB35685-37-8X,decor,wall art,$0.00M,$0.00M,3.04,44,4,$0.00M,$0.00M,$0.00M,133.76,$0.00M,$0.00M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,UCM61734-47-6U,decor,plants,$0.00M,$0.00M,0.55,664,5,$0.09M,$0.09M,$0.00M,365.20000000000005,$0.10M,$0.07M,$0.03M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,EBB49854-54-7D,consumables,kitchen supplies,$0.00M,$0.00M,4.26,1663,7,$0.14M,$0.14M,$0.05M,7084.379999999999,$0.21M,$0.17M,$0.04M
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,CUD90717-60-5M,software,accounting,$0.00M,$0.00M,5.22,901,0,$0.08M,$0.08M,$0.03M,4703.219999999999,$0.13M,$0.11M,$0.02M
